ARTISTA,ARTISTB
"['118808', 'pretty-grity', 'Pretty Grity']","['118807', 'pretty-gritty', 'Pretty Gritty']"
"['118959', 'prince-ruperts-drops', 'Prince Ruperts Drops']","['118958', 'prince-rupert-s-drops', ""Prince Rupert's Drops""]"
"['118968', 'princess-dewclaw', 'Princess Dewclaw']","['118967', 'princess-declaw', 'Princess Declaw']"
"['119104', 'professor-feathers-on-bass-organ-vocals', 'Professor Feathers on bass/organ/vocals']","['119103', 'professor-feathers-on-bass-organ-and-vocals', 'Professor Feathers on bass, organ and vocals']"
"['119151', 'project-armagedon', 'Project Armagedon']","['119150', 'project-armageddon', 'Project Armageddon']"
"['119152', 'project-armaggedon', 'Project Armaggedon']","['119151', 'project-armagedon', 'Project Armagedon']"
"['11931', 'awkwafina', 'Awkwafina']","['11930', 'awkwafiina', 'Awkwafiina']"
"['119540', 'public-display-of-aggression', 'Public Display of Aggression']","['119539', 'public-display-of-aggresion', 'Public Display Of Aggresion']"
"['119649', 'punch-face-champions', 'Punch Face Champions']","['119648', 'punch-face-champion', 'Punch Face Champion']"
"['119975', 'quitapenas', 'QUITAPENAS']","['120264', 'quita-penas', 'Quita Penas']"
"['120017', 'quaker-city-nighthawks', 'Quaker City Nighthawks']","['120016', 'quaker-city-night-hawks', 'Quaker City Night Hawks']"
"['120094', 'queen-city-silverstars', 'Queen City Silverstars']","['120093', 'queen-city-silver-stars', 'Queen City Silver Stars']"
"['120628', 'rj-brachitta', 'RJ Brachitta']","['124969', 'rj-bracchitta', 'Rj Bracchitta']"
"['121180', 'rae-sremmurd', 'Rae Sremmurd']","['177092', 'rae-sreemmurd', 'rae sreemmurd']"
"['121379', 'rainer-trueby', 'Rainer Trueby']","['121378', 'rainer-truby', 'Rainer Truby']"
"['121481', 'ralph-roddenbery', 'Ralph Roddenbery']","['121480', 'ralph-roddenberry', 'Ralph Roddenberry']"
"['121498', 'ralphonze90', 'Ralphonze90']","['121497', 'ralphonze-90', 'Ralphonze 90']"
"['12153', 'b-side-players', 'B-Side Players']","['12129', 'b-side-player', 'B*SIDE PLAYER']"
"['121604', 'randall-conrad-ollinger', 'Randall Conrad Ollinger']","['121603', 'randall-conrad-olinger', 'Randall Conrad Olinger']"
"['121771', 'rapheumets-well', 'Rapheumets Well']","['121770', 'rapheumet-s-well', ""Rapheumet's Well""]"
"['122148', 'ray-volple', 'Ray Volple']","['122147', 'ray-volpe', 'Ray Volpe']"
"['122153', 'ray-wylie-hubbard', 'Ray Wylie Hubbard']","['122152', 'ray-wyle-hubbard', 'Ray Wyle Hubbard']"
"['122422', 'rebecca-rubion', 'Rebecca Rubion']","['122421', 'rebecca-roubion', 'Rebecca Roubion']"
"['122440', 'rebekah-pulley-the-reluctant-prophets', 'Rebekah Pulley & The Reluctant Prophets']","['122441', 'rebekah-pulley-and-the-reluctant-prophets', 'Rebekah Pulley and the Reluctant Prophets']"
"['122484', 'rebel-souljahz', 'Rebel Souljahz']","['122483', 'rebel-souldjahz', 'Rebel Souldjahz']"
"['122497', 'rebellious-spririt', 'Rebellious Spririt']","['122496', 'rebellious-spirit', 'Rebellious Spirit']"
"['122631', 'red-bleed-the-sun', 'Red Bleed the Sun']","['122630', 'red-bled-the-sun', 'Red Bled The Sun']"
"['122900', 'redeyerevival', 'RedEyeRevival']","['122899', 'redeye-revival', 'RedEye Revival']"
"['122995', 'redwing-blackbirds', 'Redwing Blackbirds']","['122994', 'redwing-blackbird', 'Redwing Blackbird']"
"['123384', 'ren-the-vinyl-archeologist', 'Ren the Vinyl Archeologist']","['123382', 'ren-the-vinyl-archaeologist', 'Ren The Vinyl Archaeologist']"
"['123455', 'renegade-stringband', 'Renegade Stringband']","['123454', 'renegade-string-band', 'Renegade String Band']"
"['123504', 'repeat-offenders', 'Repeat Offenders']","['123503', 'repeat-offender', 'Repeat Offender']"
"['123625', 'resonante-rogues', 'Resonante Rogues']","['123623', 'resonant-rogues', 'Resonant Rogues']"
"['123648', 'restless-leg-syndrome', 'Restless Leg Syndrome']","['123647', 'restless-leg-syndrom', 'Restless Leg Syndrom']"
"['123951', 'rhett-atkins', 'Rhett Atkins']","['123950', 'rhett-akins', 'Rhett Akins']"
"['123965', 'rhiannon-giddens', 'Rhiannon Giddens']","['123964', 'rhiannon-gidden', 'Rhiannon Gidden']"
"['123966', 'rhiannon-gidens', 'Rhiannon Gidens']","['123965', 'rhiannon-giddens', 'Rhiannon Giddens']"
