 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , Branford Marsalis ,770543.838282, ,
 , Jochen Miller ,769708.7525, ,
 , John ,768829.280326, ,
 , The Charlie Daniels Band ,768563.791036, ,
 , Pierce the Veil ,766954.000839, ,
 , Sub Focus ,766229.180355, ,
 , Blue Öyster Cult ,765892.783114, ,
 , Breathe Carolina ,765865.335807, ,
 , Teenage Mutants ,765839.167347, ,
 , Concert ,765342.324911, ,
 , What So Not ,763719.788362, ,
 , Mad Professor ,763458.613418, ,
 , Wiz Khalifa ,762880.916401, ,
 , Kenny Rogers ,762426.153975, ,
 , Booka Shade ,762322.933528, ,
 , Agnostic Front ,762018.633789, ,
 , RL Grime ,761680.466182, ,
 , All That Remains ,761402.518501, ,
 , Zomboy ,761101.877313, ,
 , The Wonder Years ,760807.004876, ,
 , Steep Canyon Rangers ,760503.517767, ,
 , Bob Log III ,760413.51491, ,
 , Thirty Seconds to Mars ,760071.86487, ,
 , DJ Jay ,759545.222244, ,
 , Blasterjaxx ,759263.110706, ,
 , Family Force 5 ,758689.190059, ,
 , Who's Bad ,758560.595835, ,
 , The Reverend Peyton's Big Damn Band ,757711.918592, ,
 , Children of Bodom ,757068.744588, ,
 , Behrouz ,756345.04076, ,
 , GiantSteps ,756082.31327, ,
 , Tony Bennett ,754909.066876, ,
 , DJ Bl3nd ,754881.883758, ,
 , Mi Ke ,754680.791214, ,
 , Dave Koz ,754558.480105, ,
 , John Legend ,754492.484367, ,
 , Exodus ,754331.82631, ,
 , Riverdance ,753240.66649, ,
 , Peaches ,753225.248679, ,
 , Hells Belles ,752565.82223, ,
 , Guilty Pleasures ,752290.091026, ,
 , Hercules and Love Affair ,750899.540316, ,
 , Lady Antebellum ,750371.70752, ,
 , Eddie Money ,749726.772216, ,
 , Ozomatli ,749498.145864, ,
 , Andy ,749323.331218, ,
 , Veil of Maya ,748818.408357, ,
 , Dyro ,748388.608673, ,
 , Nas ,748005.745344, ,
 , and MORE! ,747769.260814, ,
 , Agent Orange ,747153.271477, ,
 , Sound ,746771.059714, ,
 , Mannheim Steamroller ,746602.768526, ,
 , Mumford and Sons ,746587.027239, ,
 , Nora En Pure ,745485.328284, ,
 , Jason Derulo ,744805.299374, ,
 , The Audiofly really really real official fanpage ,744553.412248, ,
 , Rodrigo y Gabriela ,743468.567328, ,
 , The Fab Four ,743229.261325, ,
 , Mano Le Tough ,741089.737435, ,
 , Maroon 5 ,740902.391766, ,
 , Cabaret ,740816.055667, ,
 , Solo ,740649.550767, ,
 , We Came as Romans ,740500.97072, ,
 , Midland ,740260.841874, ,
 , OneRepublic ,740083.301178, ,
 , Johnny ,739987.401683, ,
 , Noisia ,739307.662296, ,
 , Klingande ,739210.028143, ,
 , Lee Curtiss ,739190.329655, ,
 , Solomun (Official) ,738911.631342, ,
 , Toro Y Moi ,738653.501867, ,
 , G. Love & Special Sauce ,738603.046218, ,
 , Dr. John ,738448.657645, ,
 , The Skatalites ,737541.613568, ,
 , Engelbert Humperdinck ,737451.390084, ,
 , Keys N Krates ,737332.428895, ,
 , WAR ,737026.020133, ,
 , Jason ,736635.923583, ,
 , Raul Midon ,735011.593109, ,
 ,30,734176.138266, ,
 , Big Bad Voodoo Daddy ,733978.503319, ,
 , Ryan Crosson ,733495.057534, ,
 , Sum 41 ,733269.257431, ,
 , Strung Out ,732939.483563, ,
 , Red Fang ,732538.501843, ,
 , Kurt Elling ,731660.051892, ,
 , Leeland ,731639.969924, ,
 , Shaun Reeves ,730723.125881, ,
 , Black ,730663.941803, ,
 , The Machine ,729742.404523, ,
 , James Morrison ,729600.816457, ,
 , Krewella ,729574.649985, ,
 , Andy McKee ,729366.989286, ,
 , Avenged Sevenfold ,729233.005975, ,
 , We the Kings ,729102.848984, ,
 , Cut Copy ,728876.789198, ,
